                      OLS Regression Results                     
Dep. Variable:   ,peer            ,  R-squared:         ,   0.674
Model:           ,OLS             ,  Adj. R-squared:    ,   0.321
Method:          ,Least Squares   ,  F-statistic:       ,   1.912
Date:            ,Thu, 29 Feb 2024,  Prob (F-statistic):,0.000575
Time:            ,13:15:45        ,  Log-Likelihood:    , -294.07
No. Observations:,   209          ,  AIC:               ,   806.1
Df Residuals:    ,   100          ,  BIC:               ,   1170.
Df Model:        ,   108          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
                                                                          ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
daily-routines_morning-routine_RIGHT                                      ,   -3.5459,   10.084,   -0.352, 0.726,  -23.552,   16.461
daily-routines_screen-time_LEFT                                           ,   -6.2115,   25.191,   -0.247, 0.806,  -56.189,   43.767
daily-routines_screen-time_RIGHT                                          ,   -0.1025,    3.110,   -0.033, 0.974,   -6.273,    6.068
daily-routines_transitions_LEFT                                           ,    1.7673,    7.912,    0.223, 0.824,  -13.930,   17.465
daily-routines_transitions_RIGHT                                          ,    3.9562,    8.069,    0.490, 0.625,  -12.053,   19.966
emotion_attachment_LEFT                                                   ,    5.1761,    8.279,    0.625, 0.533,  -11.250,   21.602
emotion_attachment_RIGHT                                                  ,   -0.6965,    3.818,   -0.182, 0.856,   -8.272,    6.879
emotion_emotional-regulation-and-reactivity_LEFT                          ,   -4.2861,    7.244,   -0.592, 0.555,  -18.657,   10.085
emotion_emotional-regulation-and-reactivity_RIGHT                         ,   -3.3621,    5.453,   -0.617, 0.539,  -14.181,    7.457
emotion_empathy_LEFT                                                      ,   -2.1571,    4.480,   -0.481, 0.631,  -11.046,    6.732
emotion_empathy_RIGHT                                                     ,   -2.0390,    5.012,   -0.407, 0.685,  -11.982,    7.904
emotion_irritability_LEFT                                                 ,    2.6946,   11.494,    0.234, 0.815,  -20.109,   25.498
emotion_irritability_RIGHT                                                ,    2.2460,    4.797,    0.468, 0.641,   -7.271,   11.763
emotion_stress-management_LEFT                                            ,   -1.3172,   13.788,   -0.096, 0.924,  -28.671,   26.037
emotion_stress-management_RIGHT                                           ,   -3.2980,    5.053,   -0.653, 0.515,  -13.323,    6.727
emotion_worries-anxiety_LEFT                                              ,   -2.0935,    9.394,   -0.223, 0.824,  -20.731,   16.544
emotion_worries-anxiety_RIGHT                                             ,    7.3041,    5.253,    1.390, 0.167,   -3.118,   17.726
learning-and-acquisition-of-knowledge-and-skills_academic-motivation_LEFT ,    2.8027,    7.867,    0.356, 0.722,  -12.806,   18.411
learning-and-acquisition-of-knowledge-and-skills_academic-motivation_RIGHT,   -3.1449,    3.557,   -0.884, 0.379,  -10.201,    3.911
learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills_LEFT   ,    4.1898,    7.697,    0.544, 0.587,  -11.082,   19.461
learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills_RIGHT  ,   -0.3291,    4.549,   -0.072, 0.942,   -9.353,    8.695
learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills_LEFT  ,   -5.4739,    7.426,   -0.737, 0.463,  -20.206,    9.259
learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills_RIGHT ,  -11.4433,    9.737,   -1.175, 0.243,  -30.761,    7.875
learning-and-acquisition-of-knowledge-and-skills_learning-strategies_LEFT ,   -1.8729,    6.479,   -0.289, 0.773,  -14.726,   10.981
learning-and-acquisition-of-knowledge-and-skills_learning-strategies_RIGHT,    6.3226,    7.031,    0.899, 0.371,   -7.627,   20.272
learning-and-acquisition-of-knowledge-and-skills_math-arithmetic_LEFT     ,    0.3854,    4.510,    0.085, 0.932,   -8.563,    9.333
learning-and-acquisition-of-knowledge-and-skills_math-arithmetic_RIGHT    ,   -6.7597,   13.094,   -0.516, 0.607,  -32.737,   19.218
learning-and-acquisition-of-knowledge-and-skills_reading_LEFT             ,   -1.6984,    7.337,   -0.231, 0.817,  -16.255,   12.858
learning-and-acquisition-of-knowledge-and-skills_reading_RIGHT            ,   -5.9615,   13.097,   -0.455, 0.650,  -31.945,   20.022
learning-and-acquisition-of-knowledge-and-skills_writing_LEFT             ,   -0.7253,    7.845,   -0.092, 0.927,  -16.289,   14.839
learning-and-acquisition-of-knowledge-and-skills_writing_RIGHT            ,    4.5228,   14.539,    0.311, 0.756,  -24.323,   33.368
other-special-issues_bullying_LEFT                                        ,    1.7708,    1.043,    1.698, 0.093,   -0.299,    3.840
other-special-issues_bullying_RIGHT                                       ,    0.4394,    1.187,    0.370, 0.712,   -1.916,    2.795
other-special-issues_perception-of-reality_LEFT                           ,    1.6174,    1.116,    1.449, 0.151,   -0.598,    3.832
other-special-issues_perception-of-reality_RIGHT                          ,    0.5928,    0.960,    0.617, 0.538,   -1.312,    2.498
other-special-issues_physically-harms-self_LEFT                           ,    2.1137,    0.956,    2.211, 0.029,    0.217,    4.010
other-special-issues_physically-harms-self_RIGHT                          ,    0.0965,    0.884,    0.109, 0.913,   -1.657,    1.850
other-special-issues_physically-or-emotionally-harms-others_LEFT          ,    0.5819,    2.178,    0.267, 0.790,   -3.740,    4.904
other-special-issues_physically-or-emotionally-harms-others_RIGHT         ,    1.6283,    1.658,    0.982, 0.328,   -1.662,    4.918
other-special-issues_self-care-hygiene_LEFT                               ,    0.8896,    1.980,    0.449, 0.654,   -3.039,    4.819
other-special-issues_self-care-hygiene_RIGHT                              ,    1.3207,    1.973,    0.669, 0.505,   -2.594,    5.235
other-special-issues_sleep_LEFT                                           ,    1.7838,    0.867,    2.058, 0.042,    0.064,    3.504
other-special-issues_sleep_RIGHT                                          ,    0.4264,    0.871,    0.489, 0.626,   -1.302,    2.155
other-special-issues_substance-use_LEFT                                   ,    0.9291,    1.859,    0.500, 0.618,   -2.759,    4.617
other-special-issues_substance-use_RIGHT                                  ,    1.2812,    1.525,    0.840, 0.403,   -1.744,    4.306
other-special-issues_tics-and-other-atypical-movements_LEFT               ,    0.7008,    2.241,    0.313, 0.755,   -3.746,    5.148
other-special-issues_tics-and-other-atypical-movements_RIGHT              ,    1.5094,    1.895,    0.797, 0.428,   -2.249,    5.268
other-special-issues_trauma-history_LEFT                                  ,    2.5091,    1.620,    1.549, 0.125,   -0.705,    5.724
other-special-issues_trauma-history_RIGHT                                 ,   -0.2989,    1.856,   -0.161, 0.872,   -3.980,    3.382
personality_creativity_LEFT                                               ,    6.9122,    8.215,    0.841, 0.402,   -9.387,   23.211
personality_creativity_RIGHT                                              ,   -0.1863,    6.599,   -0.028, 0.978,  -13.279,   12.906
personality_future-outlook_LEFT                                           ,   -2.8944,    4.747,   -0.610, 0.543,  -12.312,    6.523
personality_future-outlook_RIGHT                                          ,    1.5165,   21.233,    0.071, 0.943,  -40.610,   43.643
personality_integrity-and-honesty_LEFT                                    ,    8.0429,    9.835,    0.818, 0.415,  -11.470,   27.556
personality_integrity-and-honesty_RIGHT                                   ,    3.3239,    8.342,    0.398, 0.691,  -13.227,   19.874
personality_perseverance_LEFT                                             ,   -4.6925,    5.206,   -0.901, 0.370,  -15.022,    5.637
personality_perseverance_RIGHT                                            ,   -4.5534,    6.399,   -0.712, 0.478,  -17.250,    8.143
personality_responsibility-for-self-and-others_LEFT                       ,   -1.7237,    6.054,   -0.285, 0.776,  -13.734,   10.287
personality_responsibility-for-self-and-others_RIGHT                      ,    7.4333,    8.970,    0.829, 0.409,  -10.363,   25.230
personality_self-confidence_LEFT                                          ,   -3.8477,    4.560,   -0.844, 0.401,  -12.894,    5.198
personality_self-confidence_RIGHT                                         ,   -3.1481,   19.996,   -0.157, 0.875,  -42.819,   36.523
social-function_social-communication_LEFT                                 ,   -5.6664,    7.289,   -0.777, 0.439,  -20.127,    8.794
social-function_social-communication_RIGHT                                ,   -1.2704,    5.870,   -0.216, 0.829,  -12.916,   10.376
social-function_social-cooperation_LEFT                                   ,   -0.8679,    5.197,   -0.167, 0.868,  -11.179,    9.443
social-function_social-cooperation_RIGHT                                  ,    3.7116,    8.777,    0.423, 0.673,  -13.702,   21.125
social-function_social-engagement_LEFT                                    ,   -1.8972,    6.604,   -0.287, 0.775,  -15.000,   11.206
social-function_social-engagement_RIGHT                                   ,    0.5051,    4.862,    0.104, 0.917,   -9.140,   10.150
social-function_tolerance_LEFT                                            ,   -1.3440,   10.840,   -0.124, 0.902,  -22.850,   20.162
social-function_tolerance_RIGHT                                           ,   -0.0932,    7.501,   -0.012, 0.990,  -14.975,   14.788
somatic-and-sensory-functions_eating_LEFT                                 ,    3.0584,    4.392,    0.696, 0.488,   -5.654,   11.771
somatic-and-sensory-functions_eating_RIGHT                                ,    2.8067,    6.405,    0.438, 0.662,   -9.900,   15.514
somatic-and-sensory-functions_sensory-reactivity_LEFT                     ,    7.9763,   11.593,    0.688, 0.493,  -15.024,   30.977
somatic-and-sensory-functions_sensory-reactivity_RIGHT                    ,   -2.1921,    2.056,   -1.066, 0.289,   -6.271,    1.887
somatic-and-sensory-functions_sexual-identity-behavior_LEFT               ,   10.8383,   14.515,    0.747, 0.457,  -17.959,   39.636
somatic-and-sensory-functions_sexual-identity-behavior_RIGHT              ,   52.6460,   42.090,    1.251, 0.214,  -30.859,  136.151
toileting_LEFT                                                            ,    0.8388,    1.849,    0.454, 0.651,   -2.829,    4.506
toileting_RIGHT                                                           ,    1.3715,    1.574,    0.872, 0.386,   -1.750,    4.493
Omnibus:      ,29.637,  Durbin-Watson:     ,   1.499
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  ,  87.927
Skew:         , 0.547,  Prob(JB):          ,8.07e-20
Kurtosis:     , 5.983,  Cond. No.          ,1.21e+16

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The smallest eigenvalue is 3.49e-30. This might indicate that there are
strong multicollinearity problems or that the design matrix is singular.
